ts,status,bars_dist,int_dist,cycles
2025-10-08T11:21:54,other,32,32,0
2025-10-08T11:22:04,Device Connected,34,0,0
2025-10-08T11:22:19,Device Not Connected,2,36,0
2025-10-08T11:22:20,other,26,12,0
2025-10-08T11:22:21,Device Connected,34,0,0
2025-10-08T11:22:25,Device Not Connected,2,36,0
2025-10-08T11:22:26,Device Connected,34,0,1
2025-10-08T11:22:27,Device Not Connected,2,36,1
2025-10-08T11:22:28,Device Connected,34,0,2
2025-10-08T11:22:30,Device Not Connected,2,36,2
2025-10-08T11:22:32,other,26,12,2
2025-10-08T11:22:33,Device Connected,34,0,2
2025-10-08T11:22:33,other,34,38,2
2025-10-08T11:22:34,Device Connected,34,0,2
