ts,status,bars_dist,int_dist,cycles
2025-10-07T22:49:41,other,5,32,0
2025-10-07T22:49:45,Device Connected,33,0,0
2025-10-07T22:49:48,Device Not Connected,0,33,0
2025-10-07T22:49:50,Device Connected,31,4,1
2025-10-07T22:49:52,Device Not Connected,0,33,1
2025-10-07T22:49:54,Device Connected,31,4,2
2025-10-07T22:49:56,other,5,32,2
2025-10-07T22:50:04,Device Connected,33,0,2
2025-10-07T22:50:07,Device Not Connected,0,33,2
2025-10-07T22:50:09,other,27,36,2
2025-10-07T22:50:13,Device Connected,33,2,2
2025-10-07T22:50:15,Device Not Connected,0,33,2
2025-10-07T22:50:16,Device Connected,29,4,3
2025-10-07T22:50:17,Device Not Connected,0,33,3
2025-10-07T22:50:18,Device Connected,33,0,4
2025-10-07T22:50:21,Device Not Connected,0,33,4
2025-10-07T22:50:22,Device Connected,33,0,5
2025-10-07T22:50:26,Device Not Connected,0,33,5
2025-10-07T22:50:27,Device Connected,33,0,6
2025-10-07T22:50:38,Device Not Connected,0,33,6
2025-10-07T22:50:40,Device Connected,31,4,7
2025-10-07T22:50:51,Device Not Connected,0,33,7
2025-10-07T22:50:53,other,27,32,7
